symbol,year,enterpriseValue,averagePrice,nextYearGrowth,ROA,Sales_Margin,ROCE,EV/EBIT,PER,Dividend_Yield,Acid_Test,RSCD
ALCO,2018,354819391.6666666,29.983341666666664,0.0064872133165057655,0.0077050790936701455,0.03240302161636791,0.04969850849886906,0.10007062983005416,0.06217738286184071,0.009395693410233706,0.6991059787669958,1.0
ALCO,2017,415964834.98050016,29.03335000000001,0.03272070452313132,-0.0056365731352968395,-0.011734666368839013,0.014812408855892882,0.02686044362505733,-0.039510731644270616,0.008306827190473572,0.9474128761809424,0.4036780114170099
ALCO,2016,414341099.94024986,26.846149999999994,0.08147164490997835,0.003811630350890198,0.03787553052789259,0.027132995701991833,0.053996574327833516,0.031325017332780584,0.008927607542432676,0.3907693129037425,0.7623347417200491
ADT,2018,15098298600.0,7.376154545454545,-0.16010775508795552,-0.008849568192848602,0.00016391392401858448,0.04927547641974839,0.12991629401209484,-0.11040689796119292,0.014397999798309469,0.3647947140218669,1.0
AA,2018,8717664999.999998,42.48499999999999,-0.44733435330116494,0.003874287131167865,0.033779750802059236,0.3399889073765945,0.2812679771475505,0.031134549199748687,0.10299308875276866,0.4297704693388147,1.0
AA,2017,7429278333.333334,39.568333333333335,0.07371214354913416,0.003997821975124664,0.028557329213868863,0.3624100719424461,0.2712241902365124,0.03770637992398808,0.046220723777791836,0.4281980319803198,1.0
AA,2016,5709640000.0,28.08,0.4091286799620135,-0.005973358819664297,-0.000214638334406525,0.14007713884992987,0.13993877022018902,-0.0778416078962527,0.0453427365995672,0.35820630981921303,1.0
AIRI,2018,40500586.3375,1.37625,-0.08144111413866165,-0.05754250774771756,-0.032191366688980545,-0.4100548182342758,-0.14036833819208655,-0.28130816037458456,0.0,0.1550832557658496,-0.13722603070387174
AIRI,2017,58235245.31666666,2.263333333333333,-0.3919366715758468,-0.09279483170109457,-0.06395756883033547,-1.0,-0.2179436169794516,-0.3951653855879024,0.0,0.21602407422008466,-0.2393903957146629
AIRI,2016,39199196.345,4.921,-0.5400663821716454,-0.04717089371980676,-0.0403086004632743,-0.9163028878441908,-0.2784495861582185,-0.41625594879638,0.0,0.1535128849544244,-0.14913239513594753
